plotID,priority,Latitude,Longitude,elevation,slope,exposition,LNF_Code,Nutzungsid,LU1980,LU2000,LU2020,mgroup,P.Test.CO2.
SVOE11,MP7,46.655921240046034,9.520025757649458,1955,14,102,611,ANU2042453,NA,OE,TRUE,CE,NA
SVOE03,MP7,46.654998130993015,9.521297048961385,1921,5,85,612,ANU2000109,NA,OE,TRUE,CE,NA
SVOE10,MP7,46.65137729840955,9.52246420023568,1872,4,129,611,54232846110715j00,NA,OE,TRUE,CE,NA
SVWE04,MP7,46.66751571241696,9.525701438517943,1506,12,5,616,54232916160000j00,NA,WE,FALSE,CI,NA
SVWE05,MP7,46.66912225483894,9.536221277900436,1295,20,12,616,54232286160000j00,NA,WE,FALSE,CI,NA
SVWI08,MP7,46.66100511880533,9.537212974777557,1474,12,63,613,54231456130000j00,NA,WI,FALSE,CI,NA
SVWI01,MP7,46.666400504855616,9.537422689122714,1355,6,47,613,54231996130000j00,NA,WI,FALSE,CI,NA
SVWI11,MP7,46.66098104926807,9.53851906204112,1448,15,50,613,54231396130000j00,NA,WI,FALSE,CI,NA
SVWI09,MP7,46.662779510836735,9.53858900565015,1420,15,53,613,54231266130000j00,NA,WI,FALSE,CI,NA
SVWI07,MP7,46.669050035510935,9.540140126639338,1247,3,51,613,54232216130000j00,NA,WI,FALSE,CI,NA
SVWI02,MP7,46.66810258546295,9.542717640904712,1214,4,66,613,54232236130000j00,NA,WI,FALSE,CI,NA
PEWI03,MP7,46.83735821104838,9.680468864665665,1563,5,200,613,921124426130000j00,NA,WI,FALSE,CI,NA
PEWI04,MP7,46.8355341665649,9.68170421139954,1497,6,219,613,921124476130000j00,NA,WI,FALSE,CI,NA
PEWE04,MP7,46.83815444125724,9.685747605109736,1604,30,143,616,3990228247,NA,WE,FALSE,CI,NA
PEWI07,MP7,46.834532009796625,9.686907664644242,1494,12,218,613,921125536130000j00,NA,WI,FALSE,CI,NA
PEOE04,MP7,46.85950178662176,9.698446591158817,2172,4,179,611,ANU1244167,NA,OE,TRUE,CE,NA
PEOE10,MP7,46.85677839599981,9.699644045845853,2111,7,199,611,ANU1244172,NA,OE,TRUE,CE,NA
PEOE03,MP7,46.858756005114365,9.699754308421516,2161,3,202,611,921123386110715j00,NA,OE,TRUE,CE,NA
PEOE06,MP7,46.85765162256508,9.700992623380868,2158,45,239,611,ANU1224678,NA,OE,TRUE,CE,NA
LPWI10,MP7,46.57317785603676,9.921387428985277,1686,0,0,613,7857836130000j00,NA,WI,FALSE,CI,NA
