ID,elevation,canton,municipality,mgroup,LU1980,LU2000,LU2020,LNF_Code,plotID,priority,Latitude,Longitude,slope,exposition,Nutzungsid,P.Test.CO2.
P2-BE-GR-55,1210,Bern,Grindelwald,NA,Fettweide,Weide,FALSE,613,GM091,P2,46.636716396183175,8.014769666917829,25,210,211778,NA
P2-GR-TU-16,1329.72,Graubünden,Tujetsch,NA,NA,Weide verbracht,NA,NA,Wc,P2,46.67711418735281,8.807623687861302,25.0496,Nord,NA,NA
P2-BE-GR-56,1440,Bern,Grindelwald,NA,Basiphiler Magerrasen,Weide,FALSE,613,GM088,P2,46.64370138284472,8.055230914484168,65,160,323870,NA
P2-GR-TU-17,1460.0976,Graubünden,Tujetsch,NA,NA,Weide,NA,NA,Fse,P2,46.68423428876922,8.78243911167737,33.8224,NA,NA,NA
P2-GR-TU-18,1569.24,Graubünden,Tujetsch,NA,NA,Extensiv genutzte Wiese,NA,NA,Mr,P2,46.68093465812545,8.749763707627496,29.5184,NA,NA,NA
P2-GR-TU-19,1584.7856,Graubünden,Tujetsch,NA,NA,Weide verbracht,NA,NA,Wt,P2,46.65191752645453,8.71159698027714,17.488,NA,NA,NA
P3-BE-GR-57,1116,Bern,Grindelwald,NA,Fettweide,Wiese,FALSE,613,GM024,P3,46.62846965718504,8.05556655761645,20,250,222360,NA
P3-BE-GR-58,1488,Bern,Grindelwald,NA,Basiphiler Magerrasen,genutzte Wiese,TRUE,611,GM049,P3,46.64387826026167,8.060758069650037,75,255,239030,NA
P3-BE-GR-59,1499,Bern,Grindelwald,NA,NA,genutzte Wiese,TRUE,611,GM034,P3,46.645554016060416,8.0536584510762,55,145,607544,NA
P3-GR-TU-20,1523,Graubünden,Tujetsch,NA,NA,Extensiv genutzte Wiese,FALSE,613,TM039,P3,46.6696430874439,8.739957794114884,35,90,98621446130000j00,NA
P3-GR-TU-21,1639,Graubünden,Tujetsch,NA,NA,Extensiv genutzte Wiese VERB.,FALSE,616,TM144,P3,46.67375520092131,8.735168549532977,53,130,98621676160000j00,NA
