"SEN";"Taxon";"Kl";"Gattung";"Art";"NISM";"T";"Tv";"K";"Kv";"L";"Lv";"AS";"ASv";"F";"Fv";"R";"Rv";"N";"Nv";"H";"Hv";"WA";"WL";"VA";"FS";"SP";"SZ";"LR";"LRv";"EM";"VE";"RL";"Bes"
213;"Eurhynchium speciosum";"M";"Eurhynchium";"speciosum";"NISM";"4";"II";"2";"II";"3";"II";"Be Gf";"II";"3";"II";"x";"-";"5";"II";"3";"II";"";"D.n";"-";"mo";"c";"Wi-Fr";"gH";"II";3;"";"";""
214;"Eurhynchium striatulum";"M";"Eurhynchium";"striatulum";"NISM";"3";"II";"2";"II";"2";"I";"Gf";"I";"3";"II";"4";"II";"";"";"";"";"";"D.n";"-";"di";"p";"Fr";"gH";"I";3;"";"";""
215;"Eurhynchium striatum aggr.";"M";"Eurhynchium";"striatum aggr.";"";"3";"II";"2";"II";"2";"II";"Be Bh";"II";"3";"I";"x";"-";"1";"I";"3";"II";"";"D.n";"-";"di";"m";"Wi";"gH";"I";3;"";"";""
216;"Fabronia pusilla";"M";"Fabronia";"pusilla";"NISM";"5";"I";"";"";"3";"II";"Pr";"I";"2";"II";"2";"II";"";"";"";"";"";"Ü.e";"-";"mo";"m";"Fr";"gH";"I";3;"";"VU";""
217;"Fissidens adianthoides aggr.";"M";"Fissidens";"adianthoides aggr.";"";"3";"II";"2";"I";"2";"II";"Be Gf";"I";"3";"II";"4";"II";"1";"I";"3";"II";"";"R.n";"-";"m/d";"m";"He-Fr";"gH";"II";3;"";"";""
218;"Fissidens bryoides aggr.";"M";"Fissidens";"bryoides aggr.";"";"4";"II";"2";"II";"3";"II";"Be Gf";"I";"3";"II";"x";"-";"1";"I";"1";"I";"";"R.n";"-";"m/d";"c";"He-So";"gH";"II";3;"";"(EN)";"nom, tax"
219;"Fissidens celticus";"M";"Fissidens";"celticus";"NISM";"";"";"2";"II";"2";"I";"Gf Be";"I";"3";"I";"2";"I";"";"";"";"";"";"R.n";"-";"di";"-";"";"gH";"I";1;"";"VU";""
220;"Fissidens crassipes";"M";"Fissidens";"crassipes";"NISM";"4";"II";"2";"I";"4";"II";"Gf";"I";"5";"II";"5";"I";"3";"II";"";"";"";"R.n";"-";"m/d";"c";"He-Fr";"eU";"II";3;"";"";""
221;"Fissidens exilis";"M";"Fissidens";"exilis";"NISM";"3";"I";"";"";"2";"I";"Be";"I";"3";"I";"3";"II";"";"";"";"";"L";"R.k";"-";"di";"c";"He-Fr";"gH";"II";3;"";"";""
222;"Fissidens fontanus";"M";"Fissidens";"fontanus";"NISM";"4";"I";"";"";"4";"I";"Gf Pr";"I";"5";"I";"2";"I";"";"";"";"";"";"R.w";"-";"aut";"-";"";"gW";"I";3;"";"VU";""
223;"Fissidens grandifrons";"M";"Fissidens";"grandifrons";"NISM";"4";"I";"";"";"4";"I";"Gf";"I";"5";"I";"x";"-";"";"";"";"";"";"R.n";"-";"di";"-";"";"gW";"I";1;">";"EN";""
224;"Fissidens osmundoides";"M";"Fissidens";"osmundoides";"NISM";"x";"-";"2";"II";"3";"II";"Be Gf";"II";"4";"II";"3";"II";"1";"I";"3";"II";"";"R.n";"-";"di";"m";"So";"eU";"II";1;"";"";""
225;"Fissidens rivularis";"M";"Fissidens";"rivularis";"NISM";"4";"I";"1";"II";"2";"I";"Gf Be";"I";"5";"I";"5";"II";"";"";"";"";"";"R.n";"-";"aut";"m";"He";"gH";"I";1;"";"VU";""
226;"Fissidens taxifolius aggr.";"M";"Fissidens";"taxifolius aggr.";"";"3";"II";"2";"I";"2";"II";"Be";"I";"3";"I";"x";"-";"3";"II";"x";"-";"";"R.n";"-";"m/d";"m";"He-Fr";"gH";"II";3;"";"";""
227;"Fontinalis antipyretica aggr.";"M";"Fontinalis";"antipyretica aggr.";"";"4";"II";"3";"I";"3";"II";"Gf";"I";"5";"I";"x";"-";"3";"II";"";"";"";"D.w";"-";"di";"p";"So";"gW";"II";3;"";"";""
228;"Fontinalis squamosa";"M";"Fontinalis";"squamosa";"NISM";"";"";"2";"";"4";"";"Gf";"";"5";"I";"2";"I";"";"";"";"";"";"D.w";"-";"di";"-";"";"gW";"I";1;"";"VU";""
229;"Fossombronia pusilla";"H";"Fossombronia";"pusilla";"NISM";"4";"I";"2";"II";"2";"I";"Be";"I";"3";"I";"3";"II";"";"";"";"";"L";"T.k";"-";"syn";"c";"He-Fr";"gH";"II";3;"";"VU";"tax"
230;"Fossombronia wondraczekii";"H";"Fossombronia";"wondraczekii";"NISM";"4";"I";"";"";"4";"II";"Be";"I";"3";"I";"3";"II";"";"";"";"";"L";"T.k";"-";"aut";"c";"He";"eE";"II";3;"";"VU";"tax"
231;"Frullania dilatata aggr.";"H";"Frullania";"dilatata aggr.";"";"3";"II";"3";"II";"3";"II";"Pr";"I";"2";"I";"3";"I";"1";"I";"";"";"";"Ü.e";"Bk";"di";"c";"He-Fr";"gH";"I";3;"=";"(CR)";"all"
232;"Frullania fragilifolia";"H";"Frullania";"fragilifolia";"NISM";"3";"I";"2";"I";"1";"II";"Pr Gf";"I";"2";"I";"3";"I";"1";"I";"";"";"";"Ü.e";"Bb";"di";"-";"";"gH";"II";1;"";"";"all"
233;"Frullania jackii";"H";"Frullania";"jackii";"NISM";"3";"II";"3";"II";"1";"II";"Gf Pr";"I";"3";"II";"2";"II";"1";"I";"";"";"";"Ü.n";"-";"aut";"-";"";"gH";"I";1;"";"";"all"
234;"Frullania riparia";"H";"Frullania";"riparia";"NISM";"5";"I";"";"";"2";"I";"Gf Pr";"I";"2";"I";"4";"II";"1";"I";"";"";"";"Ü.n";"-";"di";"-";"";"gH";"II";1;"";"";"all"
235;"Frullania tamarisci";"H";"Frullania";"tamarisci";"NISM";"3";"II";"2";"II";"2";"II";"Pr Gf";"I";"3";"II";"3";"II";"1";"I";"";"";"";"Ü.e";"-";"di";"p";"Wi-He";"gH";"II";1;"";"";"all"
236;"Funaria fascicularis";"M";"Funaria";"fascicularis";"NISM";"4";"I";"";"";"3";"I";"Be";"I";"2";"I";"4";"II";"";"";"";"";"L";"R.k";"-";"aut";"c";"Fr";"eK";"II";5;"";"EN";""
237;"Funaria hygrometrica";"M";"Funaria";"hygrometrica";"NISM";"4";"II";"3";"II";"3";"II";"Be Bg";"II";"3";"II";"x";"-";"5";"II";"3";"II";"";"R.k";"-";"aut";"c";"Wi-He";"gH";"II";3;"";"";""
238;"Funaria microstoma";"M";"Funaria";"microstoma";"NISM";"2";"I";"";"";"3";"II";"Gl";"I";"4";"I";"5";"II";"";"";"";"";"";"R.k?";"-";"mo";"c";"So";"eU";"I";1;"";"CR";""
239;"Funaria muehlenbergii";"M";"Funaria";"muehlenbergii";"NISM";"4";"II";"2";"II";"5";"II";"Be Gf";"I";"1";"II";"5";"I";"";"";"";"";"";"R.n";"-";"aut";"c";"Fr";"eK";"I";3;"";"CR";""
240;"Grimmia alpestris aggr.";"M";"Grimmia";"alpestris aggr.";"";"1";"II";"";"";"4";"II";"Gf";"I";"2";"II";"2";"II";"";"";"";"";"";"P.n";"-";"m/d";"m";"Fr-He";"eG";"II";1;"";"";""
241;"Grimmia anodon";"M";"Grimmia";"anodon";"NISM";"x";"-";"";"";"5";"I";"Gf";"I";"2";"I";"5";"I";"";"";"";"";"";"P.n";"-";"aut";"m";"Fr-So";"eG";"II";3;"";"";""
242;"Grimmia atrata";"M";"Grimmia";"atrata";"NISM";"3";"II";"";"";"2";"II";"Gf Bg";"I";"4";"I";"2";"I";"";"";"";"";"M";"P.n";"-";"di*";"p";"So";"gH";"II";1;"";"VU";""
243;"Grimmia crinita";"M";"Grimmia";"crinita";"NISM";"4";"I";"";"";"4";"II";"Gf";"I";"1";"II";"5";"I";"3";"II";"";"";"";"P.n";"-";"aut";"m";"Fr";"eG";"I";3;">";"EN";""
244;"Grimmia donniana aggr.";"M";"Grimmia";"donniana aggr.";"";"1";"II";"3";"I";"4";"II";"Gf";"I";"2";"II";"2";"II";"1";"I";"";"";"";"P.n";"-";"m/d";"m";"Fr-He";"eG";"II";1;"";"";"tax"
245;"Grimmia elatior aggr.";"M";"Grimmia";"elatior aggr.";"";"3";"II";"";"";"3";"II";"Gf";"I";"2";"I";"2";"II";"";"";"";"";"";"R.n";"-";"di";"m";"Fr-So";"gH";"II";1;"";"";""
246;"Grimmia funalis";"M";"Grimmia";"funalis";"NISM";"1";"II";"";"";"4";"I";"Gf";"I";"2";"I";"2";"I";"";"";"";"";"";"P.n";"-";"di";"m";"So-He";"eG";"I";1;"";"";""
247;"Grimmia longirostris";"M";"Grimmia";"longirostris";"NISM";"2";"II";"";"";"3";"I";"Gf";"I";"2";"I";"2";"II";"";"";"";"";"";"P.n";"-";"m/d";"c";"Fr-He";"eG";"II";1;"";"";""
248;"Grimmia orbicularis";"M";"Grimmia";"orbicularis";"NISM";"4";"I";"";"";"4";"I";"Gf";"I";"2";"I";"5";"I";"";"";"";"";"";"P.n";"-";"aut";"c";"Wi-Fr";"eG";"II";3;"";"";""
249;"Grimmia ovalis aggr.";"M";"Grimmia";"ovalis aggr.";"";"3";"II";"";"";"3";"II";"Gf";"I";"2";"I";"2";"II";"";"";"";"";"";"P.n";"-";"di";"c";"Fr";"eG";"II";3;"";"";"nom"
250;"Grimmia pulvinata";"M";"Grimmia";"pulvinata";"NISM";"4";"II";"3";"I";"4";"II";"Gf";"I";"2";"I";"x";"-";"1";"II";"";"";"";"P.n";"-";"mo";"c";"Wi-So";"eG";"II";3;"";"";""
251;"Grimmia ramondii";"M";"Grimmia";"ramondii";"NISM";"2";"II";"";"";"3";"II";"Gf";"I";"2";"II";"2";"I";"";"";"";"";"";"R.n";"-";"di";"m";"He-So";"eG";"II";1;"";"";""
252;"Grimmia torquata";"M";"Grimmia";"torquata";"NISM";"2";"II";"";"";"2";"II";"Gf";"I";"4";"II";"2";"I";"";"";"";"";"";"P.n";"Bk";"di";"-";"";"gG";"II";1;"";"";""
253;"Grimmia trichophylla aggr.";"M";"Grimmia";"trichophylla aggr.";"";"3";"II";"";"";"2";"II";"Gf";"I";"2";"II";"2";"I";"";"";"";"";"";"R.n";"Bk";"di";"m";"Fr-So";"gH";"II";1;"";"";""
254;"Gymnocolea inflata";"H";"Gymnocolea";"inflata";"NISM";"2";"II";"2";"I";"4";"I";"Bt Be";"I";"5";"II";"1";"I";"1";"I";"5";"II";"";"Ü.n";"Bb";"di";"p";"He";"eM";"II";1;"";"";""
255;"Gymnomitrion apiculatum";"H";"Gymnomitrion";"apiculatum";"NISM";"1";"I";"";"";"4";"I";"Be Bg";"I";"3";"I";"2";"I";"";"";"";"";"";"R.n";"-";"di";"p";"?";"eG";"II";1;"";"VU";""
256;"Gymnomitrion concinnatum";"H";"Gymnomitrion";"concinnatum";"NISM";"1";"I";"2";"I";"3";"II";"Gf Be";"I";"3";"II";"2";"I";"1";"I";"x";"-";"";"R.n";"-";"di";"c";"So";"gG";"II";1;"";"";""
257;"Gymnomitrion corallioides";"H";"Gymnomitrion";"corallioides";"NISM";"1";"I";"3";"II";"4";"I";"Gf Be";"I";"2";"II";"2";"I";"1";"I";"x";"-";"";"R.n";"-";"di";"p";"So-He";"eG";"II";1;"";"";""
258;"Gymnostomum aeruginosum aggr.";"M";"Gymnostomum";"aeruginosum aggr.";"";"3";"II";"x";"-";"2";"II";"Gf Be";"I";"3";"II";"5";"I";"1";"I";"3";"I";"";"P.n";"-";"di";"m";"So-He";"gH";"II";3;"";"";""
259;"Gymnostomum viridulum";"M";"Gymnostomum";"viridulum";"NISM";"5";"I";"2";"II";"3";"II";"Be";"I";"2";"I";"4";"II";"";"";"";"";"";"R.n";"Bk";"di";"-";"";"eL";"II";3;"";"VU";""
260;"Gyroweisia tenuis";"M";"Gyroweisia";"tenuis";"NISM";"4";"II";"3";"I";"3";"II";"Gf";"I";"3";"II";"4";"II";"1";"I";"";"";"";"R.n";"Bk";"di";"m";"Fr-So";"gH";"II";1;"";"";""
261;"Hamatocaulis vernicosus";"M";"Hamatocaulis";"vernicosus";"NISM";"3";"II";"";"";"4";"I";"Be Bt";"I";"5";"I";"x";"-";"";"";"";"";"";"D.n";"-";"di";"p";"So";"eM";"I";3;"";"";""
262;"Haplomitrium hookeri";"H";"Haplomitrium";"hookeri";"NISM";"2";"I";"2";"I";"4";"I";"Bh Be";"I";"3";"II";"2";"I";"";"";"";"";"";"R.n";"-";"di";"m";"He";"eU";"II";3;"";"VU";""
263;"Harpalejeunea molleri";"H";"Harpalejeunea";"molleri";"NISM";"5";"I";"1";"I";"2";"I";"Gf";"I";"3";"II";"2";"II";"";"";"";"";"";"Ü.n";"-";"di";"-";"";"gH";"I";1;"";"VU";""
264;"Harpanthus scutatus";"H";"Harpanthus";"scutatus";"NISM";"3";"I";"2";"";"1";"II";"Ph Pr";"I";"3";"I";"2";"I";"";"";"";"";"";"Ü.n";"Bk";"di";"p";"So";"gH";"I";1;"";"EN";""
265;"Hedwigia ciliata aggr.";"M";"Hedwigia";"ciliata aggr.";"";"3";"II";"3";"II";"4";"I";"Gf";"I";"2";"I";"2";"I";"1";"I";"";"";"";"P.n";"-";"aut";"c";"Fr-So";"gH";"II";3;"";"";""
266;"Herzogiella seligeri";"M";"Herzogiella";"seligeri";"NISM";"3";"II";"2";"II";"2";"I";"Ph Be";"I";"3";"I";"2";"I";"1";"I";"5";"I";"";"D.n";"-";"aut";"c";"So";"gH";"I";1;"";"";""
267;"Herzogiella striatella";"M";"Herzogiella";"striatella";"NISM";"2";"I";"";"";"3";"II";"Be Bh";"II";"2";"II";"2";"I";"";"";"";"";"";"D.n";"-";"di";"c";"So";"gH";"II";1;"";"EN";""
268;"Heterocladium dimorphum";"M";"Heterocladium";"dimorphum";"NISM";"1";"II";"";"";"4";"I";"Be Gf";"I";"2";"I";"2";"II";"";"";"";"";"";"D.n";"-";"di";"m";"Fr";"gH";"II";1;"";"";""
269;"Homalia trichomanoides";"M";"Homalia";"trichomanoides";"NISM";"4";"II";"2";"I";"2";"I";"Pr Ph";"I";"3";"I";"x";"-";"1";"I";"";"";"";"D.n";"-";"aut";"m";"He";"gH";"I";1;">";"";""
270;"Homalothecium lutescens";"M";"Homalothecium";"lutescens";"NISM";"3";"II";"2";"II";"3";"II";"Gf Be";"I";"2";"II";"5";"I";"1";"I";"3";"I";"";"D.n";"-";"di";"p";"Fr";"gH";"II";3;"";"";""
271;"Homalothecium philippeanum";"M";"Homalothecium";"philippeanum";"NISM";"3";"I";"2";"II";"2";"II";"Gf Pr";"I";"2";"I";"5";"I";"";"";"";"";"";"D.n";"-";"di";"m";"Fr";"gH";"I";3;"";"";""
272;"Homalothecium sericeum";"M";"Homalothecium";"sericeum";"NISM";"4";"II";"x";"-";"3";"II";"Gf Pr";"I";"2";"I";"4";"I";"1";"I";"";"";"";"Ü.n";"-";"di";"m";"Wi";"gH";"II";3;"";"";""
273;"Homomallium incurvatum";"M";"Homomallium";"incurvatum";"NISM";"3";"II";"";"";"2";"I";"Gf Pr";"I";"3";"I";"5";"II";"";"";"";"";"";"Ü.n";"-";"aut";"c";"Fr-So";"gH";"II";3;"";"";""
274;"Hookeria lucens";"M";"Hookeria";"lucens";"NISM";"3";"II";"2";"I";"1";"II";"Be";"I";"4";"II";"3";"II";"1";"I";"3";"II";"";"D.n";"-";"aut";"m";"So-He";"gH";"I";1;"";"";""
275;"Hydrogrimmia mollis";"M";"Hydrogrimmia";"mollis";"NISM";"1";"I";"";"";"4";"I";"Gf Bg";"I";"5";"II";"2";"II";"";"";"";"";"";"P.n";"-";"di";"p";"So";"eU";"II";1;"";"";""
276;"Hygrobiella laxifolia";"H";"Hygrobiella";"laxifolia";"NISM";"2";"I";"2";"I";"2";"I";"Gf";"I";"5";"II";"2";"I";"1";"I";"";"";"";"Ü.n";"-";"di";"m";"Fr-So";"gH";"II";1;"";"VU";""
277;"Hygrohypnum duriusculum";"M";"Hygrohypnum";"duriusculum";"NISM";"1";"II";"";"";"4";"I";"Gf";"I";"5";"II";"2";"I";"";"";"";"";"";"D.w";"-";"di";"m";"So";"gW";"II";1;"";"";""
278;"Hygrohypnum eugyrium";"M";"Hygrohypnum";"eugyrium";"NISM";"3";"I";"";"";"3";"II";"Gf";"I";"5";"I";"2";"I";"";"";"";"";"";"Ü.w";"-";"aut";"-";"";"gW";"I";1;"";"VU";""
279;"Hygrohypnum luridum";"M";"Hygrohypnum";"luridum";"NISM";"3";"II";"2";"II";"2";"I";"Gf Be";"I";"5";"II";"5";"I";"3";"II";"1";"I";"";"Ü.n";"-";"aut";"c";"So";"gH";"II";1;"";"";""
280;"Hygrohypnum smithii";"M";"Hygrohypnum";"smithii";"NISM";"2";"I";"";"";"3";"II";"Gf Be";"I";"5";"I";"2";"I";"";"";"";"";"";"P.w";"-";"aut";"m";"So";"gW";"II";1;"";"EN";""
281;"Hylocomium brevirostre";"M";"Hylocomium";"brevirostre";"NISM";"4";"II";"2";"I";"2";"I";"Be Bh";"II";"3";"I";"x";"-";"";"";"";"";"";"B.n";"-";"di";"m";"He-Fr";"gH";"I";1;"";"";""
282;"Hylocomium pyrenaicum";"M";"Hylocomium";"pyrenaicum";"NISM";"2";"II";"3";"I";"3";"II";"Be Bh";"I";"3";"I";"x";"-";"1";"I";"3";"II";"";"D.n";"-";"di";"p";"He-Fr";"gH";"II";3;"";"";""
283;"Hylocomium splendens";"M";"Hylocomium";"splendens";"NISM";"3";"II";"3";"II";"3";"II";"Be Bh";"I";"3";"I";"2";"II";"1";"I";"5";"I";"";"D.n";"-";"di";"m";"Fr";"gH";"II";1;"";"";""
284;"Hylocomium umbratum";"M";"Hylocomium";"umbratum";"NISM";"2";"II";"";"";"1";"I";"Be Bh";"II";"3";"I";"x";"-";"";"";"";"";"";"B.n";"-";"di";"m";"Wi-Fr";"gH";"I";1;"";"";""
285;"Hymenostylium recurvirostre";"M";"Hymenostylium";"recurvirostre";"NISM";"x";"-";"";"";"3";"II";"Gf Gt";"II";"4";"II";"5";"I";"1";"I";"";"";"";"R.n";"-";"di";"m";"So";"gG";"II";1;"";"";""
286;"Hyophila involuta";"M";"Hyophila";"involuta";"NISM";"4";"I";"";"";"4";"II";"Gf";"I";"4";"II";"5";"I";"3";"II";"";"";"W";"R.n";"Bk";"di";"-";"";"eU";"II";3;"=";"VU";""
287;"Hypnum bambergeri";"M";"Hypnum";"bambergeri";"NISM";"1";"II";"";"";"3";"II";"Gf Be";"I";"3";"I";"4";"II";"";"";"";"";"";"D.n";"-";"di";"-";"";"gK";"II";1;"";"EN";""
288;"Hypnum callichroum";"M";"Hypnum";"callichroum";"NISM";"2";"I";"";"";"2";"I";"Be Bh";"II";"3";"I";"2";"II";"";"";"";"";"";"D.n";"-";"di";"m";"So";"gH";"II";1;"";"";""
289;"Hypnum cupressiforme aggr.";"M";"Hypnum";"cupressiforme aggr.";"";"3";"II";"3";"II";"x";"-";"Ph Pr";"II";"3";"II";"x";"-";"3";"II";"";"";"";"D.n";"-";"di";"m";"Wi-Fr";"gH";"I";3;"";"(VU)";""
290;"Hypnum fertile";"M";"Hypnum";"fertile";"NISM";"2";"I";"";"";"2";"I";"Ph";"I";"3";"I";"2";"I";"";"";"";"";"";"Ü.n";"-";"aut";"c";"So";"gH";"I";1;"";"VU";""
291;"Hypnum lindbergii";"M";"Hypnum";"lindbergii";"NISM";"3";"II";"";"";"x";"-";"Be Bg";"I";"3";"I";"4";"II";"";"";"";"";"W";"D.n";"-";"di";"p";"So";"gK";"II";1;"";"";""
292;"Hypnum pallescens";"M";"Hypnum";"pallescens";"NISM";"3";"II";"";"";"2";"I";"Pr Ph";"I";"3";"I";"2";"I";"";"";"";"";"";"Ü.n";"-";"aut";"c";"So";"gH";"I";1;"";"";""
293;"Hypnum pratense";"M";"Hypnum";"pratense";"NISM";"3";"II";"";"";"4";"I";"Be";"I";"4";"I";"5";"I";"";"";"";"";"";"D.n";"-";"di";"m";"Fr";"gK";"I";3;"";"";""
294;"Hypnum procerrimum";"M";"Hypnum";"procerrimum";"NISM";"1";"II";"";"";"4";"I";"Be Gf";"I";"3";"I";"5";"I";"";"";"";"";"";"D.n";"-";"di";"-";"";"eG";"II";1;"";"EN";""
295;"Hypnum recurvatum";"M";"Hypnum";"recurvatum";"NISM";"2";"I";"";"";"2";"I";"Gf Be";"I";"3";"I";"5";"II";"";"";"";"";"";"Ü.n";"-";"mo";"m";"So";"gG";"II";1;"";"";""
296;"Hypnum revolutum";"M";"Hypnum";"revolutum";"NISM";"1";"II";"";"";"4";"II";"Gf Be";"II";"3";"I";"5";"I";"";"";"";"";"";"D.n";"-";"di";"-";"";"eG";"II";1;"";"";""
297;"Hypnum vaucheri";"M";"Hypnum";"vaucheri";"NISM";"1";"II";"";"";"3";"II";"Gf Be";"I";"3";"I";"4";"II";"";"";"";"";"";"Ü.n";"-";"di";"-";"";"eG";"II";1;"";"";""
298;"Isopterygium elegans";"M";"Isopterygium";"elegans";"NISM";"3";"II";"2";"I";"2";"I";"Be Gl";"I";"3";"I";"1";"I";"1";"I";"1";"I";"";"Ü.n";"Bs";"di";"p";"";"gH";"I";1;"";"";""
299;"Isopterygium muellerianum";"M";"Isopterygium";"muellerianum";"NISM";"3";"II";"";"";"2";"I";"Gf Be";"I";"3";"I";"x";"-";"";"";"";"";"";"Ü.n";"-";"di";"p";"So";"gH";"II";1;"";"";""
300;"Isopterygium pulchellum";"M";"Isopterygium";"pulchellum";"NISM";"2";"II";"";"";"2";"I";"Gl Bh";"II";"3";"I";"4";"II";"";"";"";"";"";"Ü.n";"-";"aut";"c";"So";"gH";"II";1;"";"";""
301;"Isothecium alopecuroides";"M";"Isothecium";"alopecuroides";"NISM";"3";"II";"2";"I";"2";"II";"Pr Gf";"II";"3";"II";"x";"-";"1";"II";"";"";"";"D.e";"-";"di";"m";"So-Wi";"gH";"I";1;"";"";""
302;"Isothecium myosuroides aggr.";"M";"Isothecium";"myosuroides aggr.";"";"3";"II";"2";"I";"2";"I";"Gf Be";"I";"3";"II";"2";"I";"";"";"";"";"";"D.n";"-";"di";"p";"Wi";"gH";"II";1;"";"";""
303;"Jamesoniella autumnalis";"H";"Jamesoniella";"autumnalis";"NISM";"3";"II";"";"";"1";"I";"Be Gf";"II";"3";"I";"2";"I";"";"";"";"";"";"Ü.n";"-";"di";"p";"So";"gH";"I";1;"";"EN";""
304;"Jungermannia atrovirens";"H";"Jungermannia";"atrovirens";"NISM";"3";"II";"3";"I";"2";"II";"Gf Be";"I";"4";"II";"5";"II";"3";"I";"1";"I";"";"Ü.n";"-";"di";"c";"Fr-He";"gH";"II";1;"";"";"tax"
305;"Jungermannia confertissima";"H";"Jungermannia";"confertissima";"NISM";"1";"I";"2";"I";"2";"II";"Be Gf";"II";"4";"I";"3";"I";"3";"II";"1";"I";"";"Ü.n";"-";"par";"m";"So-He";"eG";"II";1;"";"";""
306;"Jungermannia exsertifolia";"H";"Jungermannia";"exsertifolia";"NISM";"1";"II";"";"";"4";"I";"Gf Be";"I";"5";"I";"2";"I";"";"";"";"";"";"Ü.n";"-";"di";"-";"";"gW";"I";1;"";"VU";""
307;"Jungermannia gracillima";"H";"Jungermannia";"gracillima";"NISM";"3";"II";"3";"I";"2";"II";"Be Bg";"I";"4";"I";"1";"II";"1";"I";"1";"I";"";"Ü.n";"-";"di";"c";"Fr";"gH";"II";3;"";"";""
308;"Jungermannia hyalina aggr.";"H";"Jungermannia";"hyalina aggr.";"";"x";"-";"2";"II";"2";"II";"Be Gf";"I";"4";"II";"2";"I";"";"";"";"";"";"Ü.n";"-";"m/d";"c";"Fr-So";"gH";"II";3;"";"(VU)";"tax"
309;"Jungermannia polaris";"H";"Jungermannia";"polaris";"NISM";"1";"II";"";"";"4";"II";"Gf Be";"II";"3";"I";"2";"I";"";"";"";"";"";"Ü.n";"-";"par";"m";"?";"gG";"II";1;"";"";""
310;"Jungermannia pumila";"H";"Jungermannia";"pumila";"NISM";"3";"II";"2";"I";"2";"II";"Gf";"I";"4";"I";"2";"II";"1";"I";"";"";"";"Ü.n";"-";"par";"m";"Wi-He";"gH";"II";1;"";"(VU)";"tax"
311;"Jungermannia sphaerocarpa";"H";"Jungermannia";"sphaerocarpa";"NISM";"1";"II";"2";"I";"2";"II";"Gf Be";"II";"3";"II";"2";"I";"1";"I";"1";"I";"";"Ü.n";"-";"par";"c";"Fr-He";"eG";"II";1;"";"";"tax"
312;"Jungermannia subulata aggr.";"H";"Jungermannia";"subulata aggr.";"";"3";"II";"";"";"2";"I";"Ph Bh";"I";"4";"II";"3";"II";"";"";"";"";"";"Ü.n";"Bk";"mo";"m";"Fr-So";"gH";"I";3;"";"VU";""
313;"Kiaeria falcata";"M";"Kiaeria";"falcata";"NISM";"1";"I";"";"";"4";"I";"Bg Gf";"II";"3";"II";"2";"I";"";"";"";"";"";"R.n";"-";"mo";"m";"So";"eS";"II";1;"";"";""
314;"Kiaeria starkei";"M";"Kiaeria";"starkei";"NISM";"1";"I";"";"";"4";"I";"Bg Gf";"II";"3";"II";"2";"II";"";"";"";"";"";"R.n";"-";"aut";"c";"So";"eS";"II";1;"";"";""
315;"Kurzia pauciflora";"H";"Kurzia";"pauciflora";"NISM";"3";"I";"";"";"4";"I";"Bt";"I";"5";"I";"1";"I";"";"";"";"";"";"Ü.n";"-";"di";"m";"He";"eM";"II";3;"";"EN";""
316;"Kurzia trichoclados";"H";"Kurzia";"trichoclados";"NISM";"2";"I";"";"";"3";"II";"Gf Be";"II";"3";"II";"2";"II";"";"";"";"";"";"Ü.n";"-";"di";"p";"He";"gH";"II";1;"";"VU";""
317;"Leiocolea badensis";"H";"Leiocolea";"badensis";"NISM";"3";"II";"3";"II";"3";"II";"Gf Bg";"II";"4";"I";"3";"II";"3";"I";"1";"II";"";"Ü.n";"-";"di";"c";"Wi-He";"gH";"II";1;"";"";"tax"
318;"Leiocolea bantriensis aggr.";"H";"Leiocolea";"bantriensis aggr.";"";"3";"II";"3";"I";"2";"II";"Gf Be";"I";"3";"II";"4";"II";"3";"I";"1";"II";"";"Ü.n";"-";"di";"c";"So";"gH";"II";3;"";"";"tax"
319;"Leiocolea heterocolpos";"H";"Leiocolea";"heterocolpos";"NISM";"2";"II";"4";"II";"3";"I";"Be Gf";"II";"4";"II";"2";"I";"1";"II";"5";"I";"";"Ü.n";"Bk";"di";"-";"";"gH";"II";1;"";"";""
320;"Leiocolea turbinata";"H";"Leiocolea";"turbinata";"NISM";"5";"I";"1";"";"2";"I";"Gt";"";"4";"I";"5";"I";"";"";"1";"I";"";"Ü.n";"-";"di";"-";"";"gH";"I";1;"";"EN";""
321;"Lejeunea cavifolia aggr.";"H";"Lejeunea";"cavifolia aggr.";"";"3";"II";"3";"I";"1";"II";"Pr Gf";"II";"3";"II";"3";"II";"3";"II";"";"";"";"Ü.n";"-";"aut";"m";"Fr-Wi";"gH";"I";1;"";"(VU)";""
322;"Lepidozia reptans";"H";"Lepidozia";"reptans";"NISM";"3";"II";"3";"I";"1";"II";"Ph Be";"I";"2";"II";"2";"I";"1";"I";"5";"I";"";"Ü.n";"-";"aut";"c";"Fr-So";"gH";"I";1;"";"";""
323;"Leptobryum pyriforme";"M";"Leptobryum";"pyriforme";"NISM";"3";"II";"";"";"3";"II";"Be Gl";"I";"2";"II";"x";"-";"3";"II";"3";"II";"";"R.r";"Kr";"m/d";"m";"So";"gH";"II";5;"";"";""
324;"Leptodictyum riparium";"M";"Leptodictyum";"riparium";"NISM";"4";"II";"3";"I";"3";"II";"Gf Be";"II";"4";"II";"x";"-";"3";"II";"3";"II";"W";"Ü.n";"-";"aut";"m";"Fr";"gW";"II";3;"";"";""
